#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g14663.t1      -          PF13516_full         -           8.7e-137  446.2 169.8   6.2e-06   27.2   2.4  33.5   8   5  25  33  33  33  28 -
anno1.g20549.t1      -          PF13516_full         -            8.7e-84  276.5  92.5   2.2e-07   31.8   0.1  14.1   1   1  13  14  14  14  14 -
anno1.g39796.t1      -          PF13516_full         -            1.3e-71  237.5  46.4   5.1e-06   27.5   0.4  13.1   1   1  12  13  13  13  12 -
anno1.g10366.t1      -          PF13516_full         -            3.4e-68  226.5  88.3   5.3e-07   30.6   1.0  13.2   1   1  12  13  13  12  12 -
anno1.g13765.t1      -          PF13516_full         -            1.6e-66  221.2  70.0   2.8e-06   28.3   1.8  14.0   2   1  12  14  14  14  12 -
anno1.g25068.t1      -          PF13516_full         -            6.5e-59  196.8  69.5   9.6e-07   29.8   0.3  14.6   3   2  12  15  15  13  11 -
anno1.g25064.t1      -          PF13516_full         -            4.8e-52  174.8  43.5   2.7e-06   28.4   0.0  11.7   4   3   8  12  12  11   9 -
anno1.g13766.t1      -          PF13516_full         -            2.1e-50  169.6  44.0   1.1e-07   32.8   0.1   8.4   1   1   7   8   8   8   7 -
anno1.g38811.t1      -          PF13516_full         -            2.1e-50  169.6  44.0   1.1e-07   32.8   0.1   8.4   1   1   7   8   8   8   7 -
anno1.g31227.t1      -          PF13516_full         -            3.9e-50  168.7  31.7   9.1e-05   23.5   0.2  11.4   2   2   9  11  11  11   9 -
anno1.g29920.t1      -          PF13516_full         -              1e-49  167.4  56.9     0.002   19.2   0.1  15.5   1   1  14  15  15  15  13 -
anno1.g25061.t1      -          PF13516_full         -            6.8e-49  164.7  65.4   3.5e-07   31.2   0.5  13.7   5   3   9  14  14  13   9 -
anno1.g38876.t1      -          PF13516_full         -            3.5e-48  162.5  62.8   1.1e-06   29.6   0.9  10.3   1   1   9  10  10  10   9 -
anno1.g29194.t1      -          PF13516_full         -            9.1e-48  161.1  77.2   1.2e-07   32.7   0.1  16.8   7   5  11  18  18  16   8 -
anno1.g29195.t1      -          PF13516_full         -            9.1e-48  161.1  77.2   1.2e-07   32.7   0.1  16.8   7   5  11  18  18  16   8 -
anno1.g31215.t1      -          PF13516_full         -            5.6e-47  158.6  50.2   6.1e-07   30.4   0.6   9.9   1   1   9  10  10   9   9 -
anno1.g42995.t1      -          PF13516_full         -            4.4e-46  155.7  45.6   6.3e-06   27.2   0.5  11.5   1   1  11  12  12  11   9 -
