#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g22724.t1      -          PF13519_full         -                  0 1428.2  11.5   9.9e-12   46.5   0.9  50.1  45   5   2  50  50  50  49 -
anno1.g33459.t1      -          PF13519_full         -           1.6e-212  704.0 115.9   2.6e-14   54.9   0.5  24.5  24   1   1  25  25  24  24 -
anno1.g13927.t1      -          PF13519_full         -           3.2e-127  424.7  89.5   2.6e-13   51.6   0.3  19.9  20   0   0  20  20  19  16 -
anno1.g19306.t1      -          PF13519_full         -           6.3e-116  387.7  47.7   1.9e-13   52.1   0.2  13.3  13   0   0  13  13  13  13 -
anno1.g27351.t1      -          PF13519_full         -           1.6e-110  370.0  40.0   5.3e-16   60.4   0.0  10.1  10   0   0  10  10  10  10 -
anno1.g39769.t1      -          PF13519_full         -           5.4e-108  361.7  23.3   9.9e-15   56.3   0.1   9.2   9   0   0   9   9   9   9 -
anno1.g34681.t1      -          PF13519_full         -            2.5e-96  323.5  17.3   1.6e-07   32.7   0.0  14.3  14   0   0  14  14  14  12 -
anno1.g27352.t1      -          PF13519_full         -            4.5e-74  250.6   1.5   8.4e-17   63.1   0.0   6.1   6   0   0   6   6   6   5 -
anno1.g39708.t1      -          PF13519_full         -              3e-68  231.5  30.2   4.3e-14   54.2   0.3   7.1   7   0   0   7   7   7   7 -
anno1.g19493.t1      -          PF13519_full         -            9.1e-66  223.4   2.3   5.8e-14   53.8   0.0   6.4   6   0   0   6   6   6   6 -
anno1.g13936.t1      -          PF13519_full         -            4.1e-64  218.0   0.7   1.5e-12   49.1   0.0   8.8   9   1   0   9   9   8   6 -
anno1.g19492.t1      -          PF13519_full         -            9.7e-55  187.3  10.4   2.9e-17   64.6   0.7   5.2   5   0   0   5   5   5   4 -
