#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g8452.t1       -          PF13519_full         -                  0 1570.8  79.6   8.8e-13   49.5   0.4  64.6  57   7   6  65  65  65  57 -
anno1.g16465.t1      -          PF13519_full         -           1.5e-220  729.9  90.8   6.9e-13   49.9   0.1  28.2  26   2   2  28  28  28  28 -
anno1.g1335.t2       -          PF13519_full         -           4.5e-170  564.6  67.9   1.1e-12   49.3   0.0  27.3  24   1   3  27  27  27  27 -
anno1.g20294.t1      -          PF13519_full         -           1.8e-156  520.1  49.5     7e-13   49.8   0.5  16.5  16   0   0  16  16  16  16 -
anno1.g6160.t1       -          PF13519_full         -             8e-113  377.1  46.1   8.9e-15   56.1   0.0  11.3   9   2   2  11  11  11  11 -
anno1.g18974.t1      -          PF13519_full         -            8.2e-99  331.3  40.6   2.5e-14   54.6   0.0  10.1  10   0   0  10  10  10  10 -
anno1.g7523.t2       -          PF13519_full         -            3.2e-84  283.5  16.4   2.3e-14   54.7   0.1   6.2   6   0   0   6   6   6   6 -
anno1.g7159.t1       -          PF13519_full         -            1.6e-81  274.6   2.9   8.4e-14   52.9   0.0  10.8  11   0   0  11  11  10   9 -
anno1.g18973.t1      -          PF13519_full         -            3.9e-81  273.4   0.8   6.4e-16   59.8   0.3   6.2   6   0   0   6   6   6   6 -
anno1.g6159.t1       -          PF13519_full         -            5.2e-62  210.7  12.9   8.1e-10   39.8   1.9   7.6   6   2   2   8   8   7   7 -
anno1.g16464.t2      -          PF13519_full         -            6.8e-57  194.0  14.2   3.3e-15   57.5   0.5   4.2   4   0   0   4   4   4   4 -
anno1.g922.t2        -          PF13519_full         -              1e-55  190.1   0.3   6.1e-13   50.0   0.1   4.2   4   0   0   4   4   4   4 -
anno1.g16466.t1      -          PF13519_full         -            1.6e-48  166.6   7.1   2.1e-13   51.6   0.1   4.1   4   0   0   4   4   4   4 -
anno1.g7156.t2       -          PF13519_full         -            1.3e-43  150.5   0.4   1.2e-13   52.4   0.2   4.2   4   0   0   4   4   4   3 -
anno1.g7516.t1       -          PF13519_full         -            1.8e-43  150.1  12.0   1.3e-10   42.4   0.0   5.5   5   1   0   5   5   5   5 -
anno1.g4094.t1       -          PF13519_full         -            2.1e-42  146.5   0.0   6.4e-16   59.8   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g23940.t1      -          PF13519_full         -            1.2e-39  137.5   0.0   6.2e-09   36.9   0.0   5.2   5   0   0   5   5   5   5 -
anno1.g8279.t1       -          PF13519_full         -            4.9e-38  132.2  37.4     6e-11   43.5   0.0   6.3   5   2   1   6   6   4   4 -
anno1.g3094.t1       -          PF13519_full         -              2e-35  123.7   0.0   1.8e-12   48.5   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g26917.t1      -          PF13519_full         -            2.5e-33  116.8   0.6   1.4e-11   45.6   0.1   3.2   3   0   0   3   3   3   3 -
anno1.g7517.t1       -          PF13519_full         -            1.1e-31  111.4   3.5   1.8e-13   51.8   0.9   3.3   3   0   0   3   3   3   3 -
anno1.g6158.t1       -          PF13519_full         -            2.1e-27   97.4  21.2   8.3e-13   49.6   0.1   5.7   3   2   3   6   6   3   3 -
anno1.g12583.t1      -          PF13519_full         -            2.1e-27   97.4   0.2   8.2e-27   95.5   0.0   2.2   3   0   0   3   3   1   1 -
anno1.g11472.t1      -          PF13519_full         -            4.1e-26   93.2   0.1   3.9e-07   31.0   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g31798.t1      -          PF13519_full         -            5.6e-26   92.7   2.3   6.9e-26   92.4   2.3   1.1   1   0   0   1   1   1   1 -
anno1.g21637.t1      -          PF13519_full         -              3e-25   90.4   0.7   9.5e-10   39.6   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g10197.t1      -          PF13519_full         -            5.9e-25   89.4   0.1   2.2e-07   31.9   0.0   4.4   4   0   0   4   4   4   4 -
anno1.g25849.t2      -          PF13519_full         -            6.2e-25   89.3   2.0   1.1e-12   49.2   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g1463.t1       -          PF13519_full         -            1.8e-24   87.8   0.0   3.1e-24   87.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g4912.t2       -          PF13519_full         -            2.1e-24   87.6   7.7   6.1e-06   27.1   0.2   4.9   4   0   0   4   4   4   4 -
anno1.g8281.t1       -          PF13519_full         -            5.3e-23   83.0   0.0   9.1e-11   42.9   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g13766.t1      -          PF13519_full         -            1.4e-22   81.6   0.0   1.6e-08   35.6   0.0   4.3   4   0   0   4   4   4   4 -
