,target_name,accession,query_name,accession,E-value_full_seq,score_full_seq,bias_full_seq,E-value,score,bias,exp,reg,clu,ov,env,dom,rep,inc,description_of_target,motif,species,gene_family,gene_id
71,anno1.g21309.t1,-,PF14580_full,-,3e-22,80.5,26.2,9.6e-07,29.6,9.7,5.9,3,2,2,5,5,5,3,-,LRR,fungia,TLR,g21309
79,anno1.g12869.t1,-,PF14580_full,-,1.8e-20,74.6,37.7,7e-09,36.6,2.2,5.4,2,1,2,4,4,3,3,-,LRR,fungia,TLR,g12869
109,anno1.g23236.t1,-,PF14580_full,-,6.1e-15,56.5,42.9,6.7e-05,23.6,4.3,6.4,4,2,2,6,6,5,4,-,LRR,fungia,TLR,g23236
183,anno1.g23236.t1,-,PF13855_full,-,5.5e-46,156.1,35.8,3.3e-15,56.6,3.4,6.4,3,1,3,6,6,6,5,-,LRR,fungia,TLR,g23236
190,anno1.g21309.t1,-,PF13855_full,-,5.699999999999999e-43,146.4,27.7,1.2e-13,51.5,3.1,6.7,3,1,3,6,6,6,6,-,LRR,fungia,TLR,g21309
198,anno1.g12869.t1,-,PF13855_full,-,4.5e-38,130.5,37.5,2e-10,41.1,1.3,8.2,3,2,6,9,9,8,6,-,LRR,fungia,TLR,g12869
408,anno1.g23236.t1,-,PF13306_full,-,1.7e-25,91.3,15.3,1.6e-13,51.8,0.1,3.8,2,1,2,4,4,3,2,-,LRR,fungia,TLR,g23236
498,anno1.g21309.t1,-,PF12799_full,-,7.7e-20,71.5,34.6,0.00085,20.0,0.3,8.8,5,2,3,9,9,8,5,-,LRR,fungia,TLR,g21309
516,anno1.g23236.t1,-,PF12799_full,-,1.3e-17,64.3,42.7,0.0015,19.2,0.7,8.3,3,2,5,8,8,8,7,-,LRR,fungia,TLR,g23236
522,anno1.g12869.t1,-,PF12799_full,-,1e-15,58.2,35.7,0.00057,20.5,0.2,7.9,3,2,3,8,8,8,4,-,LRR,fungia,TLR,g12869
580,anno1.g12869.t1,-,PF01582_full,-,2.6e-34,120.3,1.0,4.6e-34,119.5,1.0,1.3,1,0,0,1,1,1,1,-,TIR,fungia,TLR,g12869
581,anno1.g23236.t1,-,PF01582_full,-,5.3000000000000004e-33,116.0,4.7,8.500000000000001e-33,115.3,4.7,1.3,1,0,0,1,1,1,1,-,TIR,fungia,TLR,g23236
582,anno1.g21309.t1,-,PF01582_full,-,7.5e-33,115.5,3.2,1.8e-32,114.3,3.2,1.6,1,0,0,1,1,1,1,-,TIR,fungia,TLR,g21309
