#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20980.t1            -          PF13895_full         -                  0 2829.4   0.0     3e-19   70.3   0.1  78.7  10   5  65  79  79  78  76 -
g441.t1              -          PF13895_full         -           2.5e-278  913.3  76.4   2.3e-14   54.4   4.7  23.1   5   3  18  23  23  23  23 -
g440.t1              -          PF13895_full         -           7.5e-165  544.0  43.7   1.9e-13   51.4   0.0  16.1   1   1  13  16  16  16  16 -
g24418.t1            -          PF13895_full         -           7.2e-158  521.3  48.2   9.8e-19   68.6   4.4  12.2   1   1  11  12  12  12  11 -
g24417.t2            -          PF13895_full         -           3.2e-156  515.9  48.9   3.5e-19   70.1   1.8  10.1   3   2   6  10  10  10  10 -
g10762.t1            -          PF13895_full         -           3.9e-152  502.6  45.1   4.2e-14   53.5   0.1  14.3   2   1  11  13  13  12  12 -
g6245.t1             -          PF13895_full         -           2.2e-151  500.2  22.9   4.3e-14   53.5   0.4  12.0   2   1  10  12  12  11  11 -
g28240.t1            -          PF13895_full         -           3.5e-131  434.5  99.0   5.3e-20   72.7   0.2  13.2   1   1  12  13  13  13  13 -
g13841.t1            -          PF13895_full         -           8.1e-100  332.4  28.7   1.1e-14   55.4   0.3   8.9   3   2   6   9   9   8   8 -
g1509.t1             -          PF13895_full         -            4.1e-95  317.1  18.9   5.3e-14   53.2   0.2   9.6   3   1   6   9   9   9   9 -
g1509.t2             -          PF13895_full         -            4.4e-95  317.0  18.4   5.1e-14   53.3   0.1   9.6   3   1   6   9   9   9   9 -
g14595.t1            -          PF13895_full         -            3.3e-90  301.2  67.6   1.3e-14   55.2   0.4   9.8   2   1   7  10  10   9   8 -
g1646.t3             -          PF13895_full         -            1.5e-86  289.3  49.0   1.2e-18   68.4   4.0   8.8   2   2   6   8   8   8   8 -
g1646.t1             -          PF13895_full         -            2.4e-85  285.3  48.8   1.1e-18   68.4   3.6   8.8   2   2   6   8   8   8   8 -
g19309.t1            -          PF13895_full         -            5.6e-83  277.6  10.6   2.7e-13   50.9   0.3   7.1   1   1   6   7   7   7   7 -
g22435.t2            -          PF13895_full         -            1.1e-81  273.4  21.4   3.1e-17   63.7   0.8   7.4   2   2   5   7   7   7   7 -
g29128.t1            -          PF13895_full         -              6e-79  264.5  12.2   2.3e-19   70.6   0.7   6.2   2   1   4   6   6   6   6 -
