#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g8452.t1             -          PF13519_full         -                  0 1570.7  79.8     1e-12   49.5   0.4  64.6  57   7   6  65  65  65  56 -
g16465.t1            -          PF13519_full         -           1.7e-220  729.9  90.8   7.9e-13   49.9   0.1  28.2  26   2   2  28  28  28  28 -
g1335.t2             -          PF13519_full         -           5.2e-170  564.6  67.9   1.2e-12   49.3   0.0  27.3  24   1   3  27  27  27  27 -
g20294.t2            -          PF13519_full         -             1e-156  521.1  48.7   7.9e-13   49.9   0.5  16.5  16   0   0  16  16  16  16 -
g20294.t1            -          PF13519_full         -           2.1e-156  520.0  49.5   8.1e-13   49.8   0.5  16.5  16   0   0  16  16  16  16 -
g6160.t1             -          PF13519_full         -           9.3e-113  377.1  46.1     1e-14   56.1   0.0  11.3   9   2   2  11  11  11  11 -
g1335.t1             -          PF13519_full         -             1e-104  350.8  46.5   2.1e-10   41.9   0.0  18.3  18   0   0  18  18  18  18 -
g18974.t1            -          PF13519_full         -            9.5e-99  331.2  40.6   2.9e-14   54.6   0.0  10.1  10   0   0  10  10  10  10 -
g1335.t3             -          PF13519_full         -            8.7e-97  324.8  45.2   7.5e-08   33.6   0.0  18.3  18   0   0  18  18  18  18 -
g7523.t1             -          PF13519_full         -            3.7e-84  283.5  16.4   2.7e-14   54.7   0.1   6.2   6   0   0   6   6   6   6 -
g7523.t2             -          PF13519_full         -            3.7e-84  283.5  16.4   2.7e-14   54.7   0.1   6.2   6   0   0   6   6   6   6 -
g7159.t1             -          PF13519_full         -            1.9e-81  274.6   2.9   9.7e-14   52.9   0.0  10.8  11   0   0  11  11  10   9 -
g18973.t2            -          PF13519_full         -            3.7e-81  273.6   0.8   7.1e-16   59.8   0.4   6.2   6   0   0   6   6   6   6 -
g18973.t1            -          PF13519_full         -            4.5e-81  273.4   0.8   7.3e-16   59.8   0.3   6.2   6   0   0   6   6   6   6 -
g6159.t1             -          PF13519_full         -              6e-62  210.7  12.9   9.3e-10   39.8   1.9   7.6   6   2   2   8   8   7   7 -
g16464.t2            -          PF13519_full         -            7.8e-57  194.0  14.2   3.8e-15   57.5   0.5   4.2   4   0   0   4   4   4   4 -
g922.t3              -          PF13519_full         -            3.8e-56  191.7   0.3   5.3e-13   50.4   0.1   4.2   4   0   0   4   4   4   4 -
g16464.t1            -          PF13519_full         -            5.2e-56  191.3  15.3   1.4e-14   55.6   0.0   4.2   4   0   0   4   4   4   4 -
g922.t1              -          PF13519_full         -              1e-55  190.3   0.3   6.8e-13   50.1   0.1   4.2   4   0   0   4   4   4   4 -
g922.t2              -          PF13519_full         -            1.2e-55  190.1   0.3     7e-13   50.0   0.1   4.2   4   0   0   4   4   4   4 -
g16466.t1            -          PF13519_full         -            1.8e-48  166.6   7.1   2.4e-13   51.6   0.1   4.1   4   0   0   4   4   4   4 -
g7156.t1             -          PF13519_full         -            1.2e-43  150.7   0.3   1.3e-13   52.4   0.2   4.2   4   0   0   4   4   4   3 -
