#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20980.t1            -          PF13927_seed         -                  0 3305.8  19.3   7.1e-16   59.5   0.0  78.7  79   0   0  79  79  78  77 -
g441.t1              -          PF13927_seed         -           2.3e-290  939.0  57.0   9.2e-16   59.1   0.5  23.9  23   0   0  23  23  23  23 -
g440.t1              -          PF13927_seed         -           1.1e-177  578.0  26.8   6.4e-13   50.0   0.0  16.7  16   0   0  16  16  16  16 -
g10762.t1            -          PF13927_seed         -           8.8e-175  568.7  28.1   1.5e-16   61.6   1.2  13.5  13   0   0  13  13  12  12 -
g6245.t1             -          PF13927_seed         -           3.5e-169  550.7  19.8   7.4e-15   56.2   0.0  12.7  12   0   0  12  12  11  11 -
g24418.t1            -          PF13927_seed         -           1.2e-147  481.7  49.3   9.2e-15   55.9   1.3  12.5  11   1   0  11  11  11  11 -
g24417.t2            -          PF13927_seed         -           7.4e-145  472.8  45.4   3.1e-17   63.9   0.6  11.3  11   0   0  11  11  11  10 -
g28240.t1            -          PF13927_seed         -           6.2e-140  457.0  74.0     2e-15   58.1   0.1  13.4  13   0   0  13  13  13  13 -
g13841.t1            -          PF13927_seed         -           2.3e-123  403.9  19.0   6.5e-17   62.8   0.1   9.3   9   0   0   9   9   8   8 -
g14595.t1            -          PF13927_seed         -           8.1e-116  379.7  43.1   4.7e-17   63.3   1.0  10.0   9   0   0   9   9   9   9 -
g1509.t1             -          PF13927_seed         -             2e-109  359.2  18.2   2.6e-15   57.7   0.0   9.9   9   0   0   9   9   9   9 -
g1509.t2             -          PF13927_seed         -             2e-109  359.2  18.2   2.6e-15   57.7   0.0   9.9   9   0   0   9   9   9   9 -
g1646.t3             -          PF13927_seed         -           3.2e-107  352.2  20.7   4.3e-18   66.6   0.0   9.1   8   0   0   8   8   8   8 -
g1646.t1             -          PF13927_seed         -           6.1e-106  348.1  20.7   6.2e-18   66.1   0.0   9.1   8   0   0   8   8   8   8 -
g18060.t1            -          PF13927_seed         -           1.7e-102  337.1  11.8   2.1e-12   48.4   0.0  12.7  11   0   0  11  11  11  10 -
g19309.t1            -          PF13927_seed         -            3.5e-95  313.6  18.4     2e-15   58.1   0.0   7.3   7   0   0   7   7   7   7 -
g22435.t2            -          PF13927_seed         -            2.6e-87  288.4  10.3   5.9e-14   53.4   0.3   8.6   8   0   0   8   8   8   7 -
g25722.t1            -          PF13927_seed         -            8.6e-87  286.7   9.5   1.5e-13   52.1   0.0   8.5   7   2   0   7   7   7   7 -
g2206.t1             -          PF13927_seed         -              1e-84  280.1   8.6   8.6e-13   49.6   0.1  11.6  11   0   0  11  11  11   8 -
g29128.t1            -          PF13927_seed         -            8.8e-83  273.9  14.6   9.4e-16   59.1   0.1   7.2   7   0   0   7   7   6   6 -
g24919.t1            -          PF13927_seed         -            1.8e-80  266.5  28.9   5.5e-16   59.9   0.7   6.8   7   0   0   7   7   6   6 -
g1563.t1             -          PF13927_seed         -            4.4e-77  255.6  13.9   5.8e-16   59.8   0.3   6.9   6   0   0   6   6   5   5 -
g20497.t1            -          PF13927_seed         -            2.2e-74  247.0  24.7   1.5e-17   64.9   1.1   7.4   6   0   0   6   6   6   6 -
g28242.t1            -          PF13927_seed         -            5.5e-74  245.7  30.8   7.8e-15   56.2   0.0   8.3   8   0   0   8   8   6   6 -
g25069.t1            -          PF13927_seed         -            2.7e-73  243.5   0.3   6.9e-10   40.3   0.0   9.0   8   0   0   8   8   8   8 -
g10402.t1            -          PF13927_seed         -            1.1e-71  238.3   3.4   2.5e-15   57.8   0.1   6.6   6   0   0   6   6   6   6 -
g18871.t1            -          PF13927_seed         -            1.8e-71  237.7   1.1   1.8e-17   64.6   0.2   4.4   4   0   0   4   4   4   4 -
g24918.t1            -          PF13927_seed         -              3e-69  230.5  21.2   1.1e-12   49.2   0.6   9.0   8   0   0   8   8   7   7 -
g28491.t1            -          PF13927_seed         -            7.8e-67  222.8  32.0   4.4e-13   50.6   0.1   8.9   7   1   1   8   8   8   7 -
g30729.t1            -          PF13927_seed         -            2.8e-63  211.4  25.3   1.2e-15   58.7   0.2   5.3   5   0   0   5   5   5   5 -
g15145.t1            -          PF13927_seed         -            1.5e-62  209.1   9.2   1.5e-17   64.9   0.1   5.5   5   0   0   5   5   5   5 -
g20641.t1            -          PF13927_seed         -            3.6e-62  207.9   0.3   1.4e-16   61.8   0.0   5.4   5   0   0   5   5   5   4 -
