#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20629.t1            -          PF13519_full         -                  0 1394.4  62.8   2.5e-11   45.1   0.0  53.4  50   3   1  53  53  53  49 -
g17774.t1            -          PF13519_full         -           1.3e-253  838.5 106.8   2.5e-18   68.0   0.4  30.0  29   1   0  30  30  29  28 -
g15186.t1            -          PF13519_full         -           1.5e-215  713.9  56.3   5.4e-17   63.6   0.0  20.3  19   1   1  20  20  20  20 -
g5504.t1             -          PF13519_full         -             2e-138  461.3  39.7   5.1e-13   50.6   0.0  21.4  21   0   0  21  21  21  16 -
g5504.t4             -          PF13519_full         -           8.6e-135  449.4  32.9   4.8e-13   50.7   0.0  19.4  19   0   0  19  19  19  16 -
g5504.t2             -          PF13519_full         -             1e-134  449.2  32.9   4.9e-13   50.7   0.0  19.4  19   0   0  19  19  19  16 -
g5504.t3             -          PF13519_full         -             1e-134  449.1  32.9   4.9e-13   50.7   0.0  19.4  19   0   0  19  19  19  16 -
g17776.t1            -          PF13519_full         -           2.1e-121  405.5  46.5   4.6e-11   44.2   0.0  14.2  13   1   0  14  14  14  14 -
g17772.t1            -          PF13519_full         -             6e-105  351.7   4.6   5.9e-17   63.5   0.0   7.2   7   0   0   7   7   7   7 -
g17772.t2            -          PF13519_full         -           9.5e-105  351.0   4.6   6.3e-17   63.4   0.0   7.2   7   0   0   7   7   7   7 -
g17772.t3            -          PF13519_full         -            8.1e-99  331.6   3.8     6e-17   63.5   0.0   7.2   7   0   0   7   7   7   7 -
g17381.t1            -          PF13519_full         -            3.4e-93  313.2  50.6     1e-14   56.2   0.4  13.3  13   0   0  13  13  13  10 -
g15798.t1            -          PF13519_full         -            1.4e-82  278.4  48.4     8e-13   50.0   0.0  10.4   9   1   0  10  10  10   9 -
g28882.t1            -          PF13519_full         -              9e-74  249.6   0.0   4.3e-19   70.5   0.0   6.2   6   0   0   6   6   6   5 -
g17775.t1            -          PF13519_full         -            8.6e-62  210.3   8.2   3.2e-12   48.0   0.1   6.2   6   0   0   6   6   6   5 -
g20628.t1            -          PF13519_full         -            3.2e-60  205.2   1.5   8.1e-11   43.4   0.0   7.2   7   0   0   7   7   7   6 -
g17775.t2            -          PF13519_full         -            1.9e-57  196.1   4.1   2.6e-12   48.3   0.1   5.4   5   0   0   5   5   5   4 -
g15187.t2            -          PF13519_full         -            1.4e-55  190.0   3.9   3.7e-15   57.6   0.1   4.4   3   1   0   4   4   4   4 -
g15187.t1            -          PF13519_full         -            1.5e-55  189.9   3.9   3.9e-15   57.5   0.1   4.4   3   1   1   4   4   4   4 -
g17773.t1            -          PF13519_full         -            5.5e-52  178.2   2.8   3.3e-15   57.8   0.0   4.2   4   0   0   4   4   4   4 -
g4537.t1             -          PF13519_full         -            6.4e-51  174.7   0.2   5.9e-10   40.6   0.0   5.3   5   0   0   5   5   5   5 -
g8193.t1             -          PF13519_full         -            2.1e-48  166.5   0.0     2e-12   48.7   0.0   4.2   4   0   0   4   4   4   4 -
g22869.t1            -          PF13519_full         -            8.7e-47  161.2   0.0   3.5e-16   61.0   0.0   3.2   3   0   0   3   3   3   3 -
g14571.t1            -          PF13519_full         -            8.1e-42  144.9   2.6   1.2e-11   46.1   0.0   5.4   4   1   1   5   5   4   4 -
g1440.t1             -          PF13519_full         -            3.2e-39  136.4   0.1   5.6e-14   53.8   0.0   3.2   2   1   1   3   3   3   3 -
g29672.t1            -          PF13519_full         -            4.8e-32  112.9  14.0   2.7e-09   38.4   0.2   5.3   4   1   1   5   5   5   5 -
g15184.t1            -          PF13519_full         -            8.4e-27   95.7   1.6   4.8e-15   57.2   0.2   2.4   2   0   0   2   2   2   2 -
g13259.t1            -          PF13519_full         -            3.9e-25   90.3   0.0     5e-09   37.5   0.0   3.1   3   0   0   3   3   3   3 -
g29671.t1            -          PF13519_full         -            5.1e-25   89.9  74.0   2.9e-08   35.1   0.1   8.7   5   3   6  11  11   5   5 -
g2001.t1             -          PF13519_full         -              1e-24   89.0   0.0     5e-08   34.3   0.0   3.3   3   0   0   3   3   3   3 -
g13276.t1            -          PF13519_full         -              4e-24   87.0   0.0   1.7e-11   45.7   0.0   2.2   2   0   0   2   2   2   2 -
g4985.t1             -          PF13519_full         -            2.9e-23   84.1   0.0     5e-23   83.4   0.0   1.4   1   0   0   1   1   1   1 -
g24761.t1            -          PF13519_full         -            9.4e-23   82.5   0.7   4.4e-06   27.9   0.0   3.8   3   0   0   3   3   3   3 -
