#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20980.t1            -          PF18452_full         -           5.6e-124  411.0 101.3   2.9e-05   24.6   0.0  61.1  33  17  24  65  65  57  17 -
g441.t1              -          PF18452_full         -              6e-64  215.6   8.6   0.00013   22.5   0.0  19.7  16   3   3  20  20  18   7 -
g10402.t1            -          PF18452_full         -            1.9e-33  116.3   6.6   2.1e-05   25.1   0.1   6.3   4   2   1   6   6   6   5 -
g6245.t1             -          PF18452_full         -            1.2e-32  113.7   2.2   0.00016   22.2   0.0  10.5   6   3   3  10  10   9   5 -
g18060.t1            -          PF18452_full         -            1.5e-28  100.4   4.3    0.0047   17.4   0.0  10.6   8   1   2  11  11  10   4 -
g440.t1              -          PF18452_full         -            9.8e-26   91.3   7.7    0.0058   17.1   0.0  11.1   9   3   2  12  12   9   4 -
g1509.t2             -          PF18452_full         -            3.8e-24   86.1   7.1    0.0081   16.7   0.0   7.7   5   2   3   8   8   6   5 -
g1509.t1             -          PF18452_full         -            4.7e-24   85.8   7.4    0.0081   16.7   0.0   7.7   5   2   3   8   8   6   5 -
g19309.t1            -          PF18452_full         -            1.3e-23   84.3  17.8   4.1e-05   24.1   0.0   8.4   3   1   5   8   8   7   5 -
g10400.t2            -          PF18452_full         -            3.6e-21   76.4   0.1   2.6e-05   24.8   0.0   3.1   2   1   1   3   3   3   3 -
g10400.t1            -          PF18452_full         -            1.6e-20   74.3   0.2   3.1e-05   24.5   0.0   3.2   2   1   1   3   3   3   3 -
g20497.t1            -          PF18452_full         -              2e-19   70.7  11.0   7.4e-05   23.3   0.1   6.4   3   3   2   6   6   6   3 -
g18204.t1            -          PF18452_full         -              2e-19   70.7   5.1   9.8e-06   26.2   0.0   5.8   4   2   1   6   6   5   3 -
g1646.t3             -          PF18452_full         -            2.5e-18   67.1   7.1   0.00018   22.0   0.0   5.9   2   2   2   5   5   5   4 -
g25722.t1            -          PF18452_full         -              7e-18   65.7   7.2     0.032   14.7   0.0   6.6   4   2   3   7   7   5   5 -
g29128.t1            -          PF18452_full         -            1.2e-17   64.9  10.5    0.0075   16.8   0.0   6.8   3   2   2   6   6   6   4 -
g1646.t1             -          PF18452_full         -              2e-17   64.2   7.3   0.00027   21.5   0.0   5.8   2   2   1   5   5   5   3 -
g25718.t1            -          PF18452_full         -            3.1e-16   60.3   4.8   0.00045   20.8   0.1   4.3   3   1   0   4   4   4   3 -
g98.t1               -          PF18452_full         -            3.3e-16   60.2   7.0   2.3e-06   28.2   0.0   4.9   6   0   0   6   6   3   2 -
g25176.t1            -          PF18452_full         -            7.2e-16   59.1   0.1   9.9e-09   35.9   0.1   3.3   1   1   2   3   3   3   2 -
g13841.t1            -          PF18452_full         -            2.2e-15   57.6  16.5   0.00095   19.7   0.0   7.6   4   3   1   8   8   7   2 -
g14349.t1            -          PF18452_full         -            2.9e-15   57.1   5.1   4.1e-05   24.1   0.1   5.1   4   1   0   5   5   5   2 -
g25176.t2            -          PF18452_full         -            4.4e-15   56.6   0.2   5.8e-09   36.7   0.1   3.2   1   1   1   3   3   3   2 -
g7920.t1             -          PF18452_full         -              9e-15   55.6   0.1     9e-05   23.0   0.0   3.2   1   1   2   3   3   3   3 -
g95.t1               -          PF18452_full         -            1.1e-14   55.3   0.2    0.0089   16.5   0.0   5.2   3   1   1   4   4   4   2 -
g8388.t1             -          PF18452_full         -              2e-14   54.5   0.1   3.2e-05   24.5   0.0   3.4   1   1   1   3   3   3   2 -
g10762.t1            -          PF18452_full         -            2.1e-14   54.4   0.2        10    6.5   0.0  10.6  11   1   1  12  12   9   0 -
g5363.t1             -          PF18452_full         -            2.5e-14   54.1   1.2     2e-06   28.4   0.0   4.0   4   0   0   4   4   3   2 -
